Community_AREA,PRIMARY_TYPE,COUNT
ARSON,,
1,ARSON,10
2,ARSON,17
3,ARSON,9
4,ARSON,4
5,ARSON,14
6,ARSON,32
7,ARSON,24
8,ARSON,19
9,ARSON,0
10,ARSON,8
11,ARSON,3
12,ARSON,0
13,ARSON,6
14,ARSON,21
15,ARSON,20
16,ARSON,28
17,ARSON,17
18,ARSON,5
19,ARSON,49
20,ARSON,26
21,ARSON,27
22,ARSON,40
23,ARSON,79
24,ARSON,32
25,ARSON,156
26,ARSON,36
27,ARSON,30
28,ARSON,24
29,ARSON,72
30,ARSON,57
31,ARSON,30
32,ARSON,22
33,ARSON,4
34,ARSON,6
35,ARSON,4
36,ARSON,4
37,ARSON,10
38,ARSON,13
39,ARSON,4
40,ARSON,12
41,ARSON,4
42,ARSON,20
43,ARSON,40
44,ARSON,41
45,ARSON,12
46,ARSON,38
47,ARSON,3
48,ARSON,10
49,ARSON,79
50,ARSON,7
51,ARSON,14
52,ARSON,25
53,ARSON,52
54,ARSON,10
55,ARSON,2
56,ARSON,14
57,ARSON,7
58,ARSON,54
59,ARSON,12
60,ARSON,12
61,ARSON,64
62,ARSON,15
63,ARSON,29
64,ARSON,8
65,ARSON,24
66,ARSON,59
67,ARSON,73
68,ARSON,61
69,ARSON,48
70,ARSON,23
71,ARSON,66
72,ARSON,3
73,ARSON,15
74,ARSON,5
75,ARSON,5
76,ARSON,0
77,ARSON,5
ASSAULT,,
1,ASSAULT,982
2,ASSAULT,860
3,ASSAULT,992
4,ASSAULT,407
5,ASSAULT,231
6,ASSAULT,904
7,ASSAULT,462
8,ASSAULT,1685
9,ASSAULT,69
10,ASSAULT,290
11,ASSAULT,271
12,ASSAULT,133
13,ASSAULT,194
14,ASSAULT,603
15,ASSAULT,850
16,ASSAULT,687
17,ASSAULT,447
18,ASSAULT,161
19,ASSAULT,1369
20,ASSAULT,401
21,ASSAULT,529
22,ASSAULT,1030
23,ASSAULT,2291
24,ASSAULT,1440
25,ASSAULT,4692
26,ASSAULT,1329
27,ASSAULT,1490
28,ASSAULT,2102
29,ASSAULT,2468
30,ASSAULT,1405
31,ASSAULT,803
32,ASSAULT,1382
33,ASSAULT,456
34,ASSAULT,264
35,ASSAULT,830
36,ASSAULT,233
37,ASSAULT,297
38,ASSAULT,1061
39,ASSAULT,439
40,ASSAULT,854
41,ASSAULT,359
42,ASSAULT,1138
43,ASSAULT,2902
44,ASSAULT,2052
45,ASSAULT,440
46,ASSAULT,1610
47,ASSAULT,138
48,ASSAULT,437
49,ASSAULT,2281
50,ASSAULT,372
51,ASSAULT,741
52,ASSAULT,437
53,ASSAULT,1357
54,ASSAULT,592
55,ASSAULT,207
56,ASSAULT,482
57,ASSAULT,229
58,ASSAULT,633
59,ASSAULT,263
60,ASSAULT,467
61,ASSAULT,1547
62,ASSAULT,233
63,ASSAULT,680
64,ASSAULT,255
65,ASSAULT,442
66,ASSAULT,1842
67,ASSAULT,2360
68,ASSAULT,2279
69,ASSAULT,2307
70,ASSAULT,750
71,ASSAULT,2587
72,ASSAULT,241
73,ASSAULT,935
74,ASSAULT,156
75,ASSAULT,639
76,ASSAULT,297
77,ASSAULT,613
BATTERY,,
1,BATTERY,2678
2,BATTERY,2172
3,BATTERY,2530
4,BATTERY,1134
5,BATTERY,460
6,BATTERY,2880
7,BATTERY,1333
8,BATTERY,4815
9,BATTERY,165
10,BATTERY,670
11,BATTERY,613
12,BATTERY,225
13,BATTERY,468
14,BATTERY,1645
15,BATTERY,2067
16,BATTERY,1857
17,BATTERY,1066
18,BATTERY,455
19,BATTERY,3455
20,BATTERY,1034
21,BATTERY,1334
22,BATTERY,2504
23,BATTERY,6155
24,BATTERY,3506
25,BATTERY,13482
26,BATTERY,4291
27,BATTERY,4188
28,BATTERY,4585
29,BATTERY,7591
30,BATTERY,3759
31,BATTERY,1739
32,BATTERY,3149
33,BATTERY,1071
34,BATTERY,725
35,BATTERY,1916
36,BATTERY,460
37,BATTERY,594
38,BATTERY,2669
39,BATTERY,967
40,BATTERY,2425
41,BATTERY,743
42,BATTERY,3045
43,BATTERY,7714
44,BATTERY,5036
45,BATTERY,984
46,BATTERY,3954
47,BATTERY,283
48,BATTERY,913
49,BATTERY,5371
50,BATTERY,832
51,BATTERY,1362
52,BATTERY,997
53,BATTERY,3344
54,BATTERY,1332
55,BATTERY,460
56,BATTERY,1000
57,BATTERY,522
58,BATTERY,1927
59,BATTERY,559
60,BATTERY,923
61,BATTERY,3922
62,BATTERY,533
63,BATTERY,1691
64,BATTERY,578
65,BATTERY,1031
66,BATTERY,4754
67,BATTERY,6195
68,BATTERY,5841
69,BATTERY,6048
70,BATTERY,1610
71,BATTERY,6464
72,BATTERY,382
73,BATTERY,2270
74,BATTERY,358
75,BATTERY,1374
76,BATTERY,692
77,BATTERY,1584
BURGLARY,,
1,BURGLARY,638
2,BURGLARY,768
3,BURGLARY,451
4,BURGLARY,380
5,BURGLARY,375
6,BURGLARY,1132
7,BURGLARY,819
8,BURGLARY,985
9,BURGLARY,46
10,BURGLARY,270
11,BURGLARY,222
12,BURGLARY,182
13,BURGLARY,223
14,BURGLARY,469
15,BURGLARY,723
16,BURGLARY,620
17,BURGLARY,484
18,BURGLARY,139
19,BURGLARY,892
20,BURGLARY,348
21,BURGLARY,501
22,BURGLARY,1106
23,BURGLARY,1087
24,BURGLARY,1873
25,BURGLARY,1804
26,BURGLARY,457
27,BURGLARY,487
28,BURGLARY,1051
29,BURGLARY,936
30,BURGLARY,639
31,BURGLARY,428
32,BURGLARY,549
33,BURGLARY,193
34,BURGLARY,153
35,BURGLARY,202
36,BURGLARY,83
37,BURGLARY,92
38,BURGLARY,485
39,BURGLARY,227
40,BURGLARY,546
41,BURGLARY,403
42,BURGLARY,884
43,BURGLARY,2189
44,BURGLARY,1339
45,BURGLARY,284
46,BURGLARY,953
47,BURGLARY,71
48,BURGLARY,319
49,BURGLARY,1406
50,BURGLARY,160
51,BURGLARY,283
52,BURGLARY,186
53,BURGLARY,851
54,BURGLARY,202
55,BURGLARY,92
56,BURGLARY,447
57,BURGLARY,215
58,BURGLARY,516
59,BURGLARY,193
60,BURGLARY,373
61,BURGLARY,835
62,BURGLARY,339
63,BURGLARY,553
64,BURGLARY,273
65,BURGLARY,462
66,BURGLARY,1523
67,BURGLARY,1274
68,BURGLARY,1036
69,BURGLARY,1217
70,BURGLARY,654
71,BURGLARY,1567
72,BURGLARY,279
73,BURGLARY,620
74,BURGLARY,93
75,BURGLARY,383
76,BURGLARY,54
77,BURGLARY,413
CONCEALED CARRY LICENSE VIOLATION,,
1,CONCEALED CARRY LICENSE VIOLATION,0
2,CONCEALED CARRY LICENSE VIOLATION,1
3,CONCEALED CARRY LICENSE VIOLATION,2
4,CONCEALED CARRY LICENSE VIOLATION,2
5,CONCEALED CARRY LICENSE VIOLATION,0
6,CONCEALED CARRY LICENSE VIOLATION,4
7,CONCEALED CARRY LICENSE VIOLATION,2
8,CONCEALED CARRY LICENSE VIOLATION,6
9,CONCEALED CARRY LICENSE VIOLATION,0
10,CONCEALED CARRY LICENSE VIOLATION,0
11,CONCEALED CARRY LICENSE VIOLATION,1
12,CONCEALED CARRY LICENSE VIOLATION,0
13,CONCEALED CARRY LICENSE VIOLATION,0
14,CONCEALED CARRY LICENSE VIOLATION,1
15,CONCEALED CARRY LICENSE VIOLATION,3
16,CONCEALED CARRY LICENSE VIOLATION,0
17,CONCEALED CARRY LICENSE VIOLATION,0
18,CONCEALED CARRY LICENSE VIOLATION,0
19,CONCEALED CARRY LICENSE VIOLATION,10
20,CONCEALED CARRY LICENSE VIOLATION,1
21,CONCEALED CARRY LICENSE VIOLATION,1
22,CONCEALED CARRY LICENSE VIOLATION,3
23,CONCEALED CARRY LICENSE VIOLATION,3
24,CONCEALED CARRY LICENSE VIOLATION,4
25,CONCEALED CARRY LICENSE VIOLATION,16
26,CONCEALED CARRY LICENSE VIOLATION,13
27,CONCEALED CARRY LICENSE VIOLATION,10
28,CONCEALED CARRY LICENSE VIOLATION,4
29,CONCEALED CARRY LICENSE VIOLATION,25
30,CONCEALED CARRY LICENSE VIOLATION,7
31,CONCEALED CARRY LICENSE VIOLATION,2
32,CONCEALED CARRY LICENSE VIOLATION,4
33,CONCEALED CARRY LICENSE VIOLATION,1
34,CONCEALED CARRY LICENSE VIOLATION,1
35,CONCEALED CARRY LICENSE VIOLATION,4
36,CONCEALED CARRY LICENSE VIOLATION,0
37,CONCEALED CARRY LICENSE VIOLATION,0
38,CONCEALED CARRY LICENSE VIOLATION,2
39,CONCEALED CARRY LICENSE VIOLATION,0
40,CONCEALED CARRY LICENSE VIOLATION,1
41,CONCEALED CARRY LICENSE VIOLATION,0
42,CONCEALED CARRY LICENSE VIOLATION,3
43,CONCEALED CARRY LICENSE VIOLATION,5
44,CONCEALED CARRY LICENSE VIOLATION,14
45,CONCEALED CARRY LICENSE VIOLATION,1
46,CONCEALED CARRY LICENSE VIOLATION,9
47,CONCEALED CARRY LICENSE VIOLATION,1
48,CONCEALED CARRY LICENSE VIOLATION,1
49,CONCEALED CARRY LICENSE VIOLATION,6
50,CONCEALED CARRY LICENSE VIOLATION,1
51,CONCEALED CARRY LICENSE VIOLATION,5
52,CONCEALED CARRY LICENSE VIOLATION,2
53,CONCEALED CARRY LICENSE VIOLATION,7
54,CONCEALED CARRY LICENSE VIOLATION,0
