COMMUNITY_AREA,COMMUNITY_NAME,COMMUNITY_AREA_MEASURE,COM_LAT,COM_LONG,DISTRICT,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,CRIME_TOTAL,CRIME_TOTAL/AREA_MEASURE
1,Rogers Park,4.77,,,,10,982,2678,638,0,85,43,1754,458,953,3,20,1,47,4,4,13,432,410,0,0,8,92,1,841,18,2,59,498,80,15,3777,117,14043,2944.025157
2,West Ridge,9.14,,,,17,860,2172,768,1,50,20,1685,307,981,4,16,0,18,6,9,17,552,326,0,0,6,124,0,808,4,1,61,407,81,9,3070,108,12488,1366.301969
3,Uptown,6.01,,,,9,992,2530,451,2,94,39,1143,423,1314,4,15,0,29,4,4,7,435,437,0,0,2,84,1,696,1,0,92,415,78,2,3494,96,12893,2145.257903
4,Lincoln Square,6.63,,,,4,407,1134,380,2,41,29,855,222,743,2,2,0,16,5,7,11,283,140,0,0,1,56,1,384,1,0,22,163,37,7,2066,35,7056,1064.253394
5,North Center,5.31,,,,14,231,460,375,0,23,7,551,134,650,0,4,0,5,5,3,4,201,78,0,0,1,26,0,212,0,0,24,132,19,4,1753,17,4933,929.0018832
6,Lake View,8.08,,,,32,904,2880,1132,4,131,57,1736,676,2400,0,3,0,49,19,5,56,792,233,0,0,3,53,2,776,4,1,144,800,83,17,8295,49,21336,2640.594059
7,Lincoln Park,8.18,,,,24,462,1333,819,2,66,24,1478,360,1559,1,6,1,5,4,11,43,466,104,0,0,2,29,0,407,0,1,42,478,66,10,6664,32,14499,1772.493888
8,Near North Side,7.1,,,,19,1685,4815,985,6,197,109,2110,1135,5133,6,19,1,96,28,12,98,1016,583,1,0,4,77,0,1102,52,3,225,1210,133,33,16911,227,38031,5356.478873
9,Edison Park,2.93,,,,0,69,165,46,0,6,2,127,40,133,0,1,0,0,1,0,0,40,10,0,0,0,13,0,100,1,0,4,10,7,1,220,1,997,340.2730375
10,Norwood Park,11.32,,,,8,290,670,270,0,17,4,597,134,512,1,1,0,9,4,9,5,132,78,0,0,1,38,0,351,5,0,13,49,25,7,1151,9,4390,387.8091873
11,Jefferson Park,6.03,,,,3,271,613,222,1,12,3,453,110,396,1,0,0,16,1,11,2,156,95,2,0,2,41,1,305,1,0,18,77,22,5,1050,11,3901,646.9320066
12,Forest Glen,8.29,,,,0,133,225,182,0,2,4,229,81,238,0,0,0,1,1,1,0,75,25,0,0,0,8,0,126,0,0,6,20,5,1,493,7,1863,224.7285887
13,North Park,6.53,,,,6,194,468,223,0,15,12,401,77,260,0,2,0,1,3,1,5,137,75,0,0,0,38,0,178,1,0,4,93,17,2,1010,19,3242,496.4777948
14,Albany Park,4.97,,,,21,603,1645,469,1,40,23,1228,167,473,4,10,1,10,9,6,7,485,236,0,0,1,87,0,491,8,1,34,410,63,6,2072,129,8740,1758.551308
15,Portage Park,10.23,,,,20,850,2067,723,3,56,14,1520,254,879,0,11,1,23,7,13,13,599,318,0,0,8,122,0,873,2,0,38,293,67,12,2586,85,11457,1119.941349
16,Irving Park,8.31,,,,28,687,1857,620,0,45,21,1437,186,761,1,9,0,16,7,7,15,611,217,0,0,4,101,2,669,2,0,40,328,59,6,2524,77,10337,1243.922984
17,Dunning,9.63,,,,17,447,1066,484,0,24,5,833,150,495,7,10,0,11,1,13,11,249,136,0,0,3,58,0,515,1,1,24,117,27,6,1052,32,5795,601.7653167
18,Montclare,2.56,,,,5,161,455,139,0,8,6,335,37,169,0,2,0,4,2,1,0,126,38,0,0,2,20,0,208,0,0,10,60,9,3,455,17,2272,887.5
19,Belmont Cragin,10.13,,,,49,1369,3455,892,10,76,28,2006,339,962,0,18,0,77,26,20,18,1001,704,0,0,4,240,1,1363,50,1,103,546,104,8,3051,296,16817,1660.11846
20,Hermosa,3.03,,,,26,401,1034,348,1,27,11,694,82,304,0,4,0,15,3,1,4,373,221,0,0,2,81,0,505,1,0,46,168,32,5,1032,122,5543,1829.372937
21,Avondale,5.13,,,,27,529,1334,501,1,35,8,1032,152,586,1,10,0,8,1,6,6,502,141,0,0,7,69,0,455,2,1,30,325,45,5,2218,85,8122,1583.235867
22,Logan Square,9.3,,,,40,1030,2504,1106,3,81,30,2108,383,1290,0,12,0,28,6,12,21,945,341,1,0,3,134,0,858,4,0,84,679,81,9,6257,167,18217,1958.817204
23,Humboldt Park,9.32,,,,79,2291,6155,1087,3,116,54,2932,547,985,58,98,1,175,13,14,17,1268,4825,1,1,1,277,1,1797,161,2,243,1220,99,14,4341,756,29632,3179.399142
24,West Town,11.86,,,,32,1440,3506,1873,4,92,48,3242,547,1862,0,22,0,37,15,5,43,1333,367,0,0,5,92,0,1037,13,1,87,1145,109,17,10457,177,27608,2327.824621
25,Austin,18.52,,,,156,4692,13482,1804,16,261,121,6202,1092,2626,129,176,3,344,27,28,17,2680,6377,1,0,12,503,0,3968,865,4,465,2911,215,22,8232,1517,58948,3182.937365
26,West Garfield Park,3.32,,,,36,1329,4291,457,13,100,43,1797,393,608,43,81,2,207,7,11,14,726,5035,1,0,2,124,0,1000,666,1,221,1181,48,10,2097,667,21211,6388.855422
27,East Garfield Park,5,,,,30,1490,4188,487,10,73,33,1677,443,522,43,58,0,132,7,5,10,695,3002,1,0,3,120,0,1046,27,0,186,820,49,8,2307,526,17998,3599.6
28,Near West Side,14.74,,,,24,2102,4585,1051,4,138,61,3124,966,2624,11,27,6,53,27,10,28,1313,775,1,0,5,186,0,1609,14,1,165,1224,139,30,11552,233,32088,2176.933514
29,North Lawndale,8.31,,,,72,2468,7591,936,25,127,57,3303,680,1006,99,81,1,158,6,11,21,1092,4996,2,0,7,257,0,1987,46,0,311,1500,108,19,3475,1126,31568,3798.796631
30,South Lawndale,11.89,,,,57,1405,3759,639,7,80,38,1979,239,695,1,49,0,67,20,9,72,845,841,0,0,6,248,0,1201,6,1,270,743,115,11,2658,560,16621,1397.897393
31,Lower West Side,7.59,,,,30,803,1739,428,2,44,24,1339,217,466,0,19,0,20,7,5,21,435,275,0,0,1,68,1,572,2,2,86,287,62,11,2108,179,9253,1219.104084
